Tahun,Bulan,Jenis Hotel,Lama Hunian Wisatawan,Lama Hunian Wisatawan
10/31/2019,oktober,Bintang 3,1.86,Wisatawan Nusantara
11/30/2019,november,Bintang 3,2.21,Wisatawan Nusantara
12/31/2019,desember,Bintang 3,2.2,Wisatawan Nusantara
1/31/2019,januari,Bintang 2,3.87,Wisatawan Nusantara
2/28/2019,februari,Bintang 2,2.57,Wisatawan Nusantara
3/31/2019,maret,Bintang 2,2.15,Wisatawan Nusantara
4/30/2019,april,Bintang 2,2.07,Wisatawan Nusantara
5/31/2019,mei,Bintang 2,2.3,Wisatawan Nusantara
6/30/2019,juni,Bintang 2,1.96,Wisatawan Nusantara
7/31/2019,juli,Bintang 2,1.57,Wisatawan Nusantara
8/31/2019,agustus,Bintang 2,1.6,Wisatawan Nusantara
9/30/2019,september,Bintang 2,1.48,Wisatawan Nusantara
10/31/2019,oktober,Bintang 2,1.58,Wisatawan Nusantara
11/30/2019,november,Bintang 2,1.31,Wisatawan Nusantara
12/31/2019,desember,Bintang 2,1.47,Wisatawan Nusantara
1/31/2019,januari,Bintang 1,1.16,Wisatawan Nusantara
2/28/2019,februari,Bintang 1,1.54,Wisatawan Nusantara
3/31/2019,maret,Bintang 1,1.83,Wisatawan Nusantara
4/30/2019,april,Bintang 1,2.07,Wisatawan Nusantara
5/31/2019,mei,Bintang 1,2.03,Wisatawan Nusantara
6/30/2019,juni,Bintang 1,1.62,Wisatawan Nusantara
7/31/2019,juli,Bintang 1,1.53,Wisatawan Nusantara
8/31/2019,agustus,Bintang 1,1.58,Wisatawan Nusantara
9/30/2019,september,Bintang 1,1.56,Wisatawan Nusantara
10/31/2019,oktober,Bintang 1,2.37,Wisatawan Nusantara
11/30/2019,november,Bintang 1,1.68,Wisatawan Nusantara
12/31/2019,desember,Bintang 1,1.82,Wisatawan Nusantara
